0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img2.svg HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/typewriter.js HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img3.svg HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img6.svg HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img5.svg HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/db_img4.svg HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/footer_logo1.png HTTP/1.1" 200 12700
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/coupon_img.jpg HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/chat.svg HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/document.svg HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/all_orders.svg HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:20 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/favicon.png HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:26 +0530] "GET /corpseedhrm/client_dashboard.html HTTP/1.1" 200 61525
